year,state,total_population_thousands,total_population_millions,children_0_14_thousands,dts_15_24_thousands,dts_25_39_thousands,dts_40_54_thousands,dts_55plus_thousands,adult_15plus_thousands,working_age_thousands,elderly_65plus_thousands,children_pct,working_age_pct,elderly_pct,dts_15_24_pct,dts_25_39_pct,dts_40_54_pct,dts_55plus_pct,dependency_ratio,state_code,region,households_thousands,households_count,median_household_income_rm,mean_household_income_rm,avg_household_size,data_status
2021,Sarawak,2465.6,2.4656,532.5,423.4,624.7,458.2,426.6,1932.9,1739.7,193.2,21.6,70.6,7.8,21.9,32.3,23.7,22.1,41.7,MY-13,East Malaysia,606.185,606185,4828.9,6286.5,4.07,official_dosm_estimates
2022,Sarawak,2473.5,2.4735,521.3,423.4,628.2,464.6,436.1,1952.3,1753.7,198.6,21.1,70.9,8.0,21.7,32.2,23.8,22.3,41.1,MY-13,East Malaysia,596.8,596800,4978.0,6457.0,4.14,official_dosm_estimates
2023,Sarawak,2502.3,2.5023,513.6,428.4,640.3,468.7,451.4,1988.8,1780.3,208.5,20.5,71.1,8.3,21.5,32.2,23.6,22.7,40.6,MY-13,East Malaysia,604.5,604500,5234.4,6697.5,4.14,official_dosm_estimates
2024,Sarawak,2517.5,2.5175,506.9,426.2,645.3,474.8,464.2,2010.5,1793.0,217.5,20.1,71.2,8.6,21.2,32.1,23.6,23.1,40.4,MY-13,East Malaysia,612.299,612299,5504.0,6947.0,4.11,official_dosm_estimates
2025,Sarawak,2528.9,2.5289,494.9,421.9,648.0,478.0,486.1,2034.0,1801.6,232.4,19.6,71.2,9.2,20.7,31.9,23.5,23.9,40.4,MY-13,East Malaysia,620.199,620199,5787.5,7205.8,4.08,official_dosm_estimates
2018,Selangor,6475.0,6.475,1513.0,1030.8,1995.9,1155.1,780.2,4962.0,4638.3,323.7,23.4,71.6,5.0,20.8,40.2,23.3,15.7,39.6,MY-10,Central,1598.53,1598530,7867.6,10351.8,4.05,official_dosm_estimates
2019,Selangor,6506.1,6.5061,1510.4,1027.4,1971.1,1180.4,816.9,4995.8,4654.3,341.5,23.2,71.5,5.2,20.6,39.5,23.6,16.4,39.8,MY-10,Central,1623.1,1623100,8210.0,10827.0,4.01,official_dosm_estimates
2020,Selangor,6994.4,6.9944,1549.6,1087.8,2044.5,1297.0,1015.5,5444.8,4962.2,482.6,22.2,70.9,6.9,20.0,37.5,23.8,18.7,41.0,MY-10,Central,1672.168,1672168,8762.9,11276.7,4.18,official_dosm_estimates
2021,Selangor,7014.7,7.0147,1531.6,1081.2,2006.7,1338.5,1056.9,5483.3,4978.8,504.5,21.8,71.0,7.2,19.7,36.6,24.4,19.3,40.9,MY-10,Central,1722.72,1722720,9353.1,11745.1,4.07,official_dosm_estimates
2022,Selangor,7050.3,7.0503,1516.7,1080.1,1972.7,1387.2,1093.8,5533.8,5008.9,524.9,21.5,71.0,7.4,19.5,35.6,25.1,19.8,40.8,MY-10,Central,1774.8,1774800,9983.0,12233.0,3.97,official_dosm_estimates
2023,Selangor,7209.7,7.2097,1532.2,1096.8,1979.7,1453.9,1147.2,5677.6,5120.0,557.6,21.3,71.0,7.7,19.3,34.9,25.6,20.2,40.8,MY-10,Central,1815.659,1815659,10347.8,12753.4,3.97,official_dosm_estimates
2024,Selangor,7362.7,7.3627,1541.5,1112.1,1984.2,1521.7,1203.3,5821.3,5228.5,592.8,20.9,71.0,8.1,19.1,34.1,26.1,20.7,40.8,MY-10,Central,1857.459,1857459,10726.0,13296.0,3.96,official_dosm_estimates
2025,Selangor,7408.7,7.4087,1527.3,1107.5,1947.5,1577.8,1248.4,5881.2,5261.7,619.5,20.6,71.0,8.4,18.8,33.1,26.8,21.2,40.8,MY-10,Central,1900.221,1900221,11118.0,13861.7,3.9,official_dosm_estimates
2018,Terengganu,1228.3,1.2283,372.1,247.3,279.8,172.2,157.0,856.3,788.3,68.0,30.3,64.2,5.5,28.9,32.7,20.1,18.3,55.8,MY-11,East Coast,251.174,251174,5245.4,6449.4,4.89,official_dosm_estimates
2019,Terengganu,1244.5,1.2445,376.2,244.6,289.4,172.4,162.0,868.4,797.9,70.5,30.2,64.1,5.7,28.2,33.3,19.9,18.7,56.0,MY-11,East Coast,257.6,257600,5545.0,6815.0,4.83,official_dosm_estimates
2020,Terengganu,1149.4,1.1494,329.1,220.5,268.7,178.3,152.9,820.4,757.1,63.3,28.6,65.9,5.5,26.9,32.8,21.7,18.6,51.8,MY-11,East Coast,265.301,265301,5653.8,6956.4,4.33,official_dosm_estimates
2021,Terengganu,1170.7,1.1707,333.7,223.7,271.8,183.5,158.1,837.1,770.1,67.0,28.5,65.8,5.7,26.7,32.5,21.9,18.9,52.0,MY-11,East Coast,273.232,273232,5764.8,7100.7,4.28,official_dosm_estimates
2022,Terengganu,1186.6,1.1866,336.8,226.7,274.2,188.4,160.6,849.9,781.2,68.7,28.4,65.8,5.8,26.7,32.3,22.2,18.9,51.9,MY-11,East Coast,281.4,281400,5878.0,7248.0,4.22,official_dosm_estimates
